TimeId,timestamp,year,quarter_year,month,week,day,hour,quarter_hour,dayOfWeek,isWeekend,isExtraHourDay,isExtraHour,isMissingHourDay,isMissingHour
2024010114450,2024-01-01 14:45:00,2024,1,1,1,1,14,45,1,0,0,0,0,0
2024010115000,2024-01-01 15:00:00,2024,1,1,1,1,15,0,1,0,0,0,0,0
2024010115150,2024-01-01 15:15:00,2024,1,1,1,1,15,15,1,0,0,0,0,0
2024010115300,2024-01-01 15:30:00,2024,1,1,1,1,15,30,1,0,0,0,0,0
2024010115450,2024-01-01 15:45:00,2024,1,1,1,1,15,45,1,0,0,0,0,0
2024010116000,2024-01-01 16:00:00,2024,1,1,1,1,16,0,1,0,0,0,0,0
2024010116150,2024-01-01 16:15:00,2024,1,1,1,1,16,15,1,0,0,0,0,0
2024010116300,2024-01-01 16:30:00,2024,1,1,1,1,16,30,1,0,0,0,0,0
2024010116450,2024-01-01 16:45:00,2024,1,1,1,1,16,45,1,0,0,0,0,0
2024010117000,2024-01-01 17:00:00,2024,1,1,1,1,17,0,1,0,0,0,0,0
2024010117150,2024-01-01 17:15:00,2024,1,1,1,1,17,15,1,0,0,0,0,0
2024010117300,2024-01-01 17:30:00,2024,1,1,1,1,17,30,1,0,0,0,0,0
2024010117450,2024-01-01 17:45:00,2024,1,1,1,1,17,45,1,0,0,0,0,0
2024010118000,2024-01-01 18:00:00,2024,1,1,1,1,18,0,1,0,0,0,0,0
2024010118150,2024-01-01 18:15:00,2024,1,1,1,1,18,15,1,0,0,0,0,0
2024010118300,2024-01-01 18:30:00,2024,1,1,1,1,18,30,1,0,0,0,0,0
2024010118450,2024-01-01 18:45:00,2024,1,1,1,1,18,45,1,0,0,0,0,0
2024010119000,2024-01-01 19:00:00,2024,1,1,1,1,19,0,1,0,0,0,0,0
2024010119150,2024-01-01 19:15:00,2024,1,1,1,1,19,15,1,0,0,0,0,0
2024010119300,2024-01-01 19:30:00,2024,1,1,1,1,19,30,1,0,0,0,0,0
2024010119450,2024-01-01 19:45:00,2024,1,1,1,1,19,45,1,0,0,0,0,0
2024010120000,2024-01-01 20:00:00,2024,1,1,1,1,20,0,1,0,0,0,0,0
2024010120150,2024-01-01 20:15:00,2024,1,1,1,1,20,15,1,0,0,0,0,0
2024010120300,2024-01-01 20:30:00,2024,1,1,1,1,20,30,1,0,0,0,0,0
2024010120450,2024-01-01 20:45:00,2024,1,1,1,1,20,45,1,0,0,0,0,0
2024010121000,2024-01-01 21:00:00,2024,1,1,1,1,21,0,1,0,0,0,0,0
2024010121150,2024-01-01 21:15:00,2024,1,1,1,1,21,15,1,0,0,0,0,0
2024010121300,2024-01-01 21:30:00,2024,1,1,1,1,21,30,1,0,0,0,0,0
2024010121450,2024-01-01 21:45:00,2024,1,1,1,1,21,45,1,0,0,0,0,0
2024010122000,2024-01-01 22:00:00,2024,1,1,1,1,22,0,1,0,0,0,0,0
2024010122150,2024-01-01 22:15:00,2024,1,1,1,1,22,15,1,0,0,0,0,0
2024010122300,2024-01-01 22:30:00,2024,1,1,1,1,22,30,1,0,0,0,0,0
2024010122450,2024-01-01 22:45:00,2024,1,1,1,1,22,45,1,0,0,0,0,0
2024010123000,2024-01-01 23:00:00,2024,1,1,1,1,23,0,1,0,0,0,0,0
2024010123150,2024-01-01 23:15:00,2024,1,1,1,1,23,15,1,0,0,0,0,0
2024010123300,2024-01-01 23:30:00,2024,1,1,1,1,23,30,1,0,0,0,0,0
2024010123450,2024-01-01 23:45:00,2024,1,1,1,1,23,45,1,0,0,0,0,0
2024010200000,2024-01-02 00:00:00,2024,1,1,1,2,0,0,2,0,0,0,0,0
2024010200150,2024-01-02 00:15:00,2024,1,1,1,2,0,15,2,0,0,0,0,0
2024010200300,2024-01-02 00:30:00,2024,1,1,1,2,0,30,2,0,0,0,0,0
2024010200450,2024-01-02 00:45:00,2024,1,1,1,2,0,45,2,0,0,0,0,0
2024010201000,2024-01-02 01:00:00,2024,1,1,1,2,1,0,2,0,0,0,0,0
2024010201150,2024-01-02 01:15:00,2024,1,1,1,2,1,15,2,0,0,0,0,0
2024010201300,2024-01-02 01:30:00,2024,1,1,1,2,1,30,2,0,0,0,0,0
2024010201450,2024-01-02 01:45:00,2024,1,1,1,2,1,45,2,0,0,0,0,0
2024010202000,2024-01-02 02:00:00,2024,1,1,1,2,2,0,2,0,0,0,0,0
2024010202150,2024-01-02 02:15:00,2024,1,1,1,2,2,15,2,0,0,0,0,0
2024010202300,2024-01-02 02:30:00,2024,1,1,1,2,2,30,2,0,0,0,0,0
2024010202450,2024-01-02 02:45:00,2024,1,1,1,2,2,45,2,0,0,0,0,0
2024010203000,2024-01-02 03:00:00,2024,1,1,1,2,3,0,2,0,0,0,0,0
2024010203150,2024-01-02 03:15:00,2024,1,1,1,2,3,15,2,0,0,0,0,0
2024010203300,2024-01-02 03:30:00,2024,1,1,1,2,3,30,2,0,0,0,0,0
2024010203450,2024-01-02 03:45:00,2024,1,1,1,2,3,45,2,0,0,0,0,0
2024010204000,2024-01-02 04:00:00,2024,1,1,1,2,4,0,2,0,0,0,0,0
2024010204150,2024-01-02 04:15:00,2024,1,1,1,2,4,15,2,0,0,0,0,0
2024010204300,2024-01-02 04:30:00,2024,1,1,1,2,4,30,2,0,0,0,0,0
2024010204450,2024-01-02 04:45:00,2024,1,1,1,2,4,45,2,0,0,0,0,0
2024010205000,2024-01-02 05:00:00,2024,1,1,1,2,5,0,2,0,0,0,0,0
2024010205150,2024-01-02 05:15:00,2024,1,1,1,2,5,15,2,0,0,0,0,0
2024010205300,2024-01-02 05:30:00,2024,1,1,1,2,5,30,2,0,0,0,0,0
2024010205450,2024-01-02 05:45:00,2024,1,1,1,2,5,45,2,0,0,0,0,0
2024010206000,2024-01-02 06:00:00,2024,1,1,1,2,6,0,2,0,0,0,0,0
2024010206150,2024-01-02 06:15:00,2024,1,1,1,2,6,15,2,0,0,0,0,0
2024010206300,2024-01-02 06:30:00,2024,1,1,1,2,6,30,2,0,0,0,0,0
2024010206450,2024-01-02 06:45:00,2024,1,1,1,2,6,45,2,0,0,0,0,0
2024010207000,2024-01-02 07:00:00,2024,1,1,1,2,7,0,2,0,0,0,0,0
2024010207150,2024-01-02 07:15:00,2024,1,1,1,2,7,15,2,0,0,0,0,0
2024010207300,2024-01-02 07:30:00,2024,1,1,1,2,7,30,2,0,0,0,0,0
2024010207450,2024-01-02 07:45:00,2024,1,1,1,2,7,45,2,0,0,0,0,0
2024010208000,2024-01-02 08:00:00,2024,1,1,1,2,8,0,2,0,0,0,0,0
2024010208150,2024-01-02 08:15:00,2024,1,1,1,2,8,15,2,0,0,0,0,0
2024010208300,2024-01-02 08:30:00,2024,1,1,1,2,8,30,2,0,0,0,0,0
2024010208450,2024-01-02 08:45:00,2024,1,1,1,2,8,45,2,0,0,0,0,0
2024010209000,2024-01-02 09:00:00,2024,1,1,1,2,9,0,2,0,0,0,0,0
2024010209150,2024-01-02 09:15:00,2024,1,1,1,2,9,15,2,0,0,0,0,0
2024010209300,2024-01-02 09:30:00,2024,1,1,1,2,9,30,2,0,0,0,0,0
2024010209450,2024-01-02 09:45:00,2024,1,1,1,2,9,45,2,0,0,0,0,0
2024010210000,2024-01-02 10:00:00,2024,1,1,1,2,10,0,2,0,0,0,0,0
2024010210150,2024-01-02 10:15:00,2024,1,1,1,2,10,15,2,0,0,0,0,0
2024010210300,2024-01-02 10:30:00,2024,1,1,1,2,10,30,2,0,0,0,0,0
2024010210450,2024-01-02 10:45:00,2024,1,1,1,2,10,45,2,0,0,0,0,0
2024010211000,2024-01-02 11:00:00,2024,1,1,1,2,11,0,2,0,0,0,0,0
2024010211150,2024-01-02 11:15:00,2024,1,1,1,2,11,15,2,0,0,0,0,0
2024010211300,2024-01-02 11:30:00,2024,1,1,1,2,11,30,2,0,0,0,0,0
2024010211450,2024-01-02 11:45:00,2024,1,1,1,2,11,45,2,0,0,0,0,0
2024010212000,2024-01-02 12:00:00,2024,1,1,1,2,12,0,2,0,0,0,0,0
2024010212150,2024-01-02 12:15:00,2024,1,1,1,2,12,15,2,0,0,0,0,0
2024010212300,2024-01-02 12:30:00,2024,1,1,1,2,12,30,2,0,0,0,0,0
2024010212450,2024-01-02 12:45:00,2024,1,1,1,2,12,45,2,0,0,0,0,0
